"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"56","Lab","subsets","BLM3","13",0.036955258483614,0.00123739726234708,0.170606455801102,0.0111353233390669
"57","Lab","subsets","BLM3","14",0.0404532141313034,0.00232129637668564,0.139490795007933,0.0275406718242356
"58","Lab","subsets","BLM3","15",0.0413506017245892,0.00128930770974699,0.142168402990239,0.0138885466330244
"59","Lab","subsets","BLM3","2",0.033387048603132,0.00374089663443752,0.215672915516693,0.0448306146218644
"60","Lab","subsets","BLM3","3",0.040484481367895,0.00107483783658278,0.130247381768861,0.0103253035307076
"61","Lab","subsets","BLM3","4",0.0391159803305274,0.000796333507742567,0.152947857246777,0.00656892021107301
"62","Lab","subsets","BLM3","5",0.0393033361477575,0.000641537124133034,0.158493047772162,0.00592448183018098
"63","Lab","subsets","BLM3","6",0.0433845193181283,0.00134524189548343,0.130138024525931,0.0138953635469832
"64","Lab","subsets","BLM3","7",0.0328708628559093,0.00432426666008335,0.239955481375613,0.0519815658799973
"65","Lab","subsets","BLM3","8",0.042433137790198,0.00299080826089063,0.120820463399401,0.0362507295492138
"66","Lab","subsets","BLM3","9",0.037813494038628,0.000510480583242283,0.169873281668029,0.0058000414367717
"67","Lab","subsets","Deming","1",0.0332289262917275,0.00781262862283306,0.234856269609834,0.0908942361532672
"68","Lab","subsets","Deming","10",0.0377375285492906,0.000495411566753511,0.169588693496051,0.00655251539186847
"69","Lab","subsets","Deming","11",0.0518252796838887,0.0126955663536768,-0.00678678640862462,0.136795651141806
"70","Lab","subsets","Deming","12",0.0457506125145656,0.00984126804882906,0.0773374281270369,0.119364058608559
"71","Lab","subsets","Deming","13",0.0362959695132441,0.00185959640400753,0.180267628461644,0.0145317681916673
"72","Lab","subsets","Deming","14",0.0325651242088874,0.00976606459596629,0.253945080956186,0.119411834218555
"73","Lab","subsets","Deming","15",0.0407735335982031,0.00197511513354036,0.147217357228101,0.0189951838559142
"74","Lab","subsets","Deming","2",0.0478065310776853,0.00616003073687522,0.0466692474009401,0.0799053737222605
"75","Lab","subsets","Deming","3",0.0378086944085364,0.00216393510459263,0.155383448460885,0.0139781790989754
"76","Lab","subsets","Deming","4",0.039433111153605,0.000102299253558702,0.153137311503542,0.000991863257427248
"77","Lab","subsets","Deming","5",0.0381198316721947,0.000744585333219897,0.167174647273327,0.00891010616947648
"78","Lab","subsets","Deming","6",0.0416478166384654,0.000122280636400766,0.147608230359549,0.000486649754116606
"79","Lab","subsets","Deming","7",0.0320549920620462,0.010683744220116,0.252400380583836,0.127858318458186
"80","Lab","subsets","Deming","8",0.0319145834824392,0.00347166402625765,0.243881120801715,0.0398618621270098
"81","Lab","subsets","Deming","9",0.0878879687577516,0.00429073590521683,-0.467318606268545,0.0545704314884859
"82","Lab","subsets","LM","1",0.0340147971581524,0.0041812882061773,0.218120282908817,0.0477817832983743
"83","Lab","subsets","LM","10",0.03867190108916,8.11799136697146e-05,0.158884375334369,0.000216916705148663
"84","Lab","subsets","LM","11",0.0369068659695841,0.00435656017337942,0.162593267168536,0.0533528642160661
"85","Lab","subsets","LM","12",0.0389740009956117,0.000849149237321071,0.156556743227463,0.0108467348645528
"86","Lab","subsets","LM","13",0.0366449178649257,0.000310131584647503,0.177131464750237,0.000149820203574332
"87","Lab","subsets","LM","14",0.0411485027401176,0.000383514689197253,0.133460095941413,0.00583913431783196
"88","Lab","subsets","LM","15",0.0402372724299767,0.000203181983206997,0.152315779854733,0.00577401564651332
"89","Lab","subsets","LM","2",0.0323917542638183,0.00479897592391292,0.225789086003617,0.0571980239631603
"90","Lab","subsets","LM","3",0.0411047998705406,1.88380406607762e-05,0.122753321975197,0.00420319440665817
"91","Lab","subsets","LM","4",0.0391308786810324,0.000602535692122107,0.15354607194255,0.004161367251824
"92","Lab","subsets","LM","5",0.0394512365008107,6.26343153888079e-05,0.157110194748249,0.00454212912452752
"93","Lab","subsets","LM","6",0.0433403873115725,0.000884771654528351,0.131058098570362,0.00940460080947761
"94","Lab","subsets","LM","7",0.0339878168970103,0.00213348963662368,0.226784614951455,0.0263202242315859
"95","Lab","subsets","LM","8",0.0397381429423663,0.000118975476123605,0.151702986955422,0.000423758433549426
"96","Lab","subsets","LM","9",0.0375719009614543,9.23896380568991e-05,0.168598164213986,0.000124248829746038
"97","Lab","subsets","Weighted","1",0.0374619110510183,0.000454563982500828,0.176383952919578,0.00736846337728585
"98","Lab","subsets","Weighted","10",0.0390519601182429,0.000351820119870993,0.155107614043325,0.00446384982886311
"99","Lab","subsets","Weighted","11",0.0376890530384902,0.000938904753209615,0.14855699155276,0.0145241058084971
"100","Lab","subsets","Weighted","12",0.0381963406666093,0.000503022419274054,0.165221960460227,0.00413677181450676
"101","Lab","subsets","Weighted","13",0.0388881471858393,0.000255703883817456,0.157726291727602,0.000241742957492118
"102","Lab","subsets","Weighted","14",0.0415885184392669,0.0027765847603361,0.128417121493239,0.0346983770890812
"103","Lab","subsets","Weighted","15",0.0414395045698039,0.000445386021053639,0.142475524482272,0.004545218602609
"104","Lab","subsets","Weighted","2",0.0336039135222966,0.00280044654557903,0.215149519300093,0.0281082508133607
"105","Lab","subsets","Weighted","3",0.0407494387881206,0.000219266239362493,0.129153981975535,0.0029477592036959
"106","Lab","subsets","Weighted","4",0.0398787757349323,0.000480606052658602,0.146409580886626,0.0065294255973544
"107","Lab","subsets","Weighted","5",0.0390809801179882,0.000487484591656996,0.157309335106702,0.000644704143607144
"108","Lab","subsets","Weighted","6",0.0414877021025452,0.00110632939525361,0.148349048163523,0.00780449559733875
"109","Lab","subsets","Weighted","7",0.0343225110677975,0.00207275478476072,0.223693454625613,0.0252168186520082
"110","Lab","subsets","Weighted","8",0.0394067525635108,0.000708067189543211,0.156579186872858,0.0075922055354879
"111","Lab","subsets","Weighted","9",0.0380049538817613,0.000680868285179569,0.169033697077829,0.00565353202455056
"112","Lab","subsets","York","1",0.0328541933042951,0.00159400577597709,0.222200876114917,0.0150879557470318
"113","Lab","subsets","York","10",0.0392976750276793,0.000611085214853267,0.153441622442402,0.00437326946743598
"114","Lab","subsets","York","11",0.0470448874841638,0.00727379746782326,0.049250349869769,0.0610339183822795
"115","Lab","subsets","York","12",0.0370874487050746,0.00209342448210256,0.180484206017711,0.0227322087068754
"116","Lab","subsets","York","13",0.0357517036295521,0.000119107759631099,0.177680902394519,0.00107306244141594
"117","Lab","subsets","York","14",0.0406084163665378,0.00141640105682258,0.136721009780606,0.0181368882342921
"118","Lab","subsets","York","15",0.0386292166982852,0.000148497159057167,0.171323525260984,0.00805514942858664
"119","Lab","subsets","York","2",0.0320388034168104,0.00756297102337159,0.230942229323564,0.0869313083518862
"120","Lab","subsets","York","3",0.0418528405342296,0.00186838451627765,0.118243554558036,0.0152779216573036
"121","Lab","subsets","York","4",0.0387592695864782,0.00056036072862417,0.152794702944443,0.000716954855181409
"122","Lab","subsets","York","5",0.039689673000958,3.29245940714842e-05,0.158095426641497,0.000100483870993458
"123","Lab","subsets","York","6",0.0463838617582806,0.00047574522381938,0.0807453568380873,0.00400936724986496
"124","Lab","subsets","York","7",0.0325365356959813,0.00264086751469711,0.240158900789766,0.0290596905785731
"125","Lab","subsets","York","8",0.042744966284478,0.00125152983311234,0.117827849684795,0.0149858310811865
"126","Lab","subsets","York","9",0.0378509999134027,0.000108188575035613,0.173084712199391,0.00666633416278461
