"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"15","Full","BLM3_fit","marginalR2",0.126000624593554,0.210761901682109,0.00941849062057068,0.0155534614467081,0.0336334432778891,0.108624875529877,0.840942441900135,1.00390465052155,510
"16","Full","BLM1_fit","alpha",0.156334382340095,0.014048720341978,0.124394827782272,0.153051770940509,0.156070002705715,0.159891942743722,0.18877984502645,1.27146110901301,19
"17","Full","BLM1_fit","beta",0.0389266426077154,0.00119996683541114,0.0361465741575316,0.0386136489417203,0.0389533832245518,0.0392205362703165,0.0417096643761593,1.1978631726371,17
"18","Full","BLM1_fit","deviance",-8060.03352958386,56.4890246585082,-8163.22656053406,-8098.53398209482,-8061.02874104286,-8020.8144534216,-7947.93825236857,1.00072079611053,1500
"19","Full","BLM1_fit","tauy",1732.20828064025,115.866287106471,1492.3973923489,1676.6931938497,1739.56385779396,1799.10892410621,1926.34140446462,1.01188655626307,890
"20","Full","BLM1_fit_NoErrors","alpha",0.154540156520133,0.00908596521557384,0.145718963178032,0.15147573128642,0.154491695184556,0.157343746574425,0.16314109849306,1.06674209111927,1300
"21","Full","BLM1_fit_NoErrors","beta",0.0390698541623513,0.00082877017087267,0.0383229939907017,0.0388186957982572,0.0390805914075803,0.0393374741754407,0.0398353215219657,1.16825761136023,1400
"22","Full","BLM1_fit_NoErrors","deviance",-4310.07638284821,61.3976568407006,-4342.83060801721,-4324.09167040258,-4313.91618384232,-4301.59255225805,-4276.36106024912,1.07661516766575,1500
"23","Full","BLM1_fit_NoErrors","tau",1724.13318885422,97.0400309233364,1567.69264915272,1669.12813876055,1728.5915508901,1780.45319223601,1888.19340673568,1.03437744510545,1500
"24","Full","BLM3_fit","alpha[1]",0.173369823528625,0.0707590563733709,0.0940309790487893,0.109975649270998,0.15337659854855,0.227527576371022,0.323367442730259,3.9035423763797,3
"25","Full","BLM3_fit","alpha[2]",0.156371865311933,0.0131807873095174,0.144261497218413,0.152139930533678,0.155312839412263,0.158460953587603,0.172627566456199,1.19349425371452,28
"26","Full","BLM3_fit","beta[1]",0.0372000728931508,0.00588315289209907,0.0247208931834749,0.0327157027224724,0.0388565894295122,0.0424660179744111,0.0437976349948807,3.74025185521488,4
"27","Full","BLM3_fit","beta[2]",0.0392987318343771,0.0012621615005941,0.0378049158148203,0.0391188943566468,0.0394007747796041,0.0396934570520776,0.040399569621884,1.23156826061606,35
"28","Full","BLM3_fit","conditionalR2",0.988895072146808,0.0191796090938676,0.931380320147472,0.990017612935758,0.997217065406242,0.998690460926699,0.999220286564195,1.01960339013758,1500
"29","Full","BLM3_fit","deviance",-8061.36489112412,55.1089134242215,-8162.99606625018,-8100.05757985345,-8061.92401092254,-8024.93510193599,-7951.40518046934,1.00881320790377,270
"30","Full","BLM3_fit","marginalR2",0.137112225928565,0.22452561271992,0.00994699959233458,0.0163614719693895,0.0343354850456163,0.122853859189602,0.882800747290841,1.00147548584962,1400
"31","Full","BLM1_fit","alpha",0.155863671126767,0.0106341781574811,0.120356829665668,0.153547007950126,0.158160502186202,0.162009430101495,0.167260411176674,1.0140740438165,300
"32","Full","BLM1_fit","beta",0.0389144670115432,0.000935487869113024,0.0379180892404601,0.0383777311231767,0.0387126920421663,0.0391150085334226,0.0420280016147739,1.01032964994295,300
"33","Full","BLM1_fit","deviance",-8146.5258467118,55.5979503086807,-8251.73214953471,-8184.5485751521,-8149.68911111686,-8108.91995015092,-8039.70210651465,1.00176179113755,1100
"34","Full","BLM1_fit","tauy",1803.16128270527,122.654722784252,1582.97849548633,1735.60974427908,1807.45725856801,1879.48559087574,2005.74646905077,1.04852363041564,670
"35","Full","BLM1_fit_NoErrors","alpha",0.159197591284724,0.0100408534936348,0.15094133182964,0.156171145902679,0.159099220750355,0.16192715135449,0.168158215644393,1.03300088679326,490
"36","Full","BLM1_fit_NoErrors","beta",0.0386200195312549,0.000760327598976928,0.0378477094260801,0.0383660096102826,0.0386217566091575,0.0388832098603114,0.0393544400998026,1.05316191637645,490
"37","Full","BLM1_fit_NoErrors","deviance",-4329.37614405683,80.1502846062322,-4365.00144356842,-4344.7945598675,-4334.06797785016,-4321.20519298179,-4298.07122651433,1.02203103376495,1500
"38","Full","BLM1_fit_NoErrors","tau",1750.51944289965,106.685767670955,1592.49748750732,1692.86608745402,1752.04853564581,1810.44169655964,1922.44832561651,1.01833385622275,1400
"39","Full","BLM3_fit","alpha[1]",0.163738383067131,0.0892111979048883,0.0753572240188426,0.0935745684172047,0.120627938233462,0.259521098851009,0.342335264773652,8.27494859305689,3
"40","Full","BLM3_fit","alpha[2]",0.163864488173762,0.025201735792266,0.147614884706842,0.155226883516703,0.159867483326894,0.163545677516253,0.229089486540537,1.1076444747356,100
"41","Full","BLM3_fit","beta[1]",0.0380322286194315,0.00746270166784577,0.0230651516109974,0.0300045517770925,0.0416542758364894,0.0439325692869356,0.0454097404077702,5.7951595712378,3
"42","Full","BLM3_fit","beta[2]",0.0384445596022805,0.00231899383073356,0.0321202258941411,0.0384724372514235,0.0388314525092805,0.0392358624437904,0.0399477727983599,1.15474305174452,170
"43","Full","BLM3_fit","conditionalR2",0.988321857676575,0.024948583984841,0.930124411934136,0.989839455150705,0.997039243689459,0.998719463722917,0.99924408447343,1.05564174936501,810
"44","Full","BLM3_fit","deviance",-8145.5896891507,57.4242419483619,-8255.28944776198,-8183.62453260203,-8146.03492697235,-8106.98176728246,-8037.62670771812,1.00752057702989,270
"45","Full","BLM3_fit","marginalR2",0.135831401200222,0.221500790779034,0.00958102998778674,0.0159943134367676,0.0354429463211031,0.129837217118643,0.882049275304068,1.00157885662891,1500
"46","Full","BLM1_fit","alpha",0.163959486277966,0.0154659699692811,0.141369805156766,0.158323058033534,0.162752479005684,0.166808910189488,0.207809724063697,1.16126197409072,29
"47","Full","BLM1_fit","beta",0.0383303470381549,0.00134138444686975,0.0345764230142972,0.0380937780448462,0.0384418699943707,0.0388253811329993,0.0402345862645386,1.22915423945704,31
"48","Full","BLM1_fit","deviance",-8163.98536001008,57.5707972716276,-8275.16093589115,-8202.4579264768,-8165.26137625508,-8126.42716657625,-8046.94904808738,1.00215677471663,1500
"49","Full","BLM1_fit","tauy",1754.18509730741,130.570766679621,1498.51165432522,1699.50839924472,1758.95756926124,1825.61591103478,1964.83896626689,1.05787884642231,130
"50","Full","BLM1_fit_NoErrors","alpha",0.160357387977401,0.00840502317766227,0.150912299028653,0.157245656676037,0.160594937701638,0.163779871253159,0.169045573659859,1.1387206957427,1500
"51","Full","BLM1_fit_NoErrors","beta",0.0386512117331151,0.000771200126602111,0.0378568363864397,0.0383503613914838,0.038623116286527,0.0389153453304845,0.0394665917273755,1.09388556767602,1500
