"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"39","2","BLM1_fit","alpha",0.15677273209037,0.0131730026804619,0.141609175402199,0.151125556408398,0.155712072374112,0.159508607450826,0.188488865581344,1.26367447594003,19
"40","2","BLM1_fit","beta",0.0389941649737699,0.00117956882153559,0.0363536960090861,0.0387680929410846,0.0390790388163083,0.0395051665865047,0.0403432479899132,1.30315997543177,22
"41","2","BLM1_fit","deviance",-7675.71267375566,53.2886050995773,-7776.86812283196,-7711.59144049896,-7677.85336776117,-7640.42030097438,-7565.42898075591,1.00022924386851,1500
"42","2","BLM1_fit","tauy",1554.45903407464,112.408941327487,1348.03866066673,1498.68057929231,1560.08252086257,1620.05444824978,1733.51893662282,1.12706799791849,170
"43","2","BLM1_fit_NoErrors","alpha",0.153813714131613,0.00702762604202139,0.147017971884221,0.151398485739941,0.153840168094213,0.156305248912023,0.161327182805791,1.14161214965384,1200
"44","2","BLM1_fit_NoErrors","beta",0.0392313942896001,0.00049663506163509,0.0385693254241226,0.0390020012350924,0.039229951083671,0.0394456869411933,0.0398490209555462,1.09927169127363,1500
"45","2","BLM1_fit_NoErrors","deviance",-3812.66720422197,83.738516929766,-3820.5734122791,-3818.96445677852,-3817.10283502325,-3814.60820161775,-3807.68603745266,1.01984973790033,1500
"46","2","BLM1_fit_NoErrors","tau",2272.22698801008,148.104482798048,2063.31867630597,2195.7132816398,2266.04683883787,2353.54145353846,2513.6499862921,1.01540041126917,1500
"47","1","BLM1_fit","alpha",0.31898504060652,0.13757801108049,0.127540685524192,0.200640088563036,0.295125628525243,0.428195469445891,0.608248441006264,3.15190398079985,4
"48","1","BLM1_fit","beta",0.0260650651191427,0.0114169026431253,0.00213021732770343,0.0170097296132846,0.0280026514604422,0.0359549250524256,0.0419499425657725,2.20060216925874,5
"49","1","BLM1_fit","deviance",-717.228770744102,18.3709376426819,-750.304014153217,-729.966099495367,-717.757885414203,-705.053015597172,-680.015278360572,1.0031863783565,630
"50","1","BLM1_fit","tauy",354.453124005246,57.4719221195916,251.343613031331,314.045023081534,352.027620977368,393.141053145182,469.785894176491,1.02524957189472,270
"51","1","BLM1_fit_NoErrors","alpha",0.232525529220879,0.0994890560233036,0.121120802096672,0.196244129120077,0.235731475633546,0.270812470454161,0.344722085100785,1.12504683825048,950
"52","1","BLM1_fit_NoErrors","beta",0.0332731050949484,0.0084957434568949,0.0239281506161856,0.0300809660127351,0.033062504031902,0.0362858146352959,0.0423839745067348,1.13045117515422,950
"53","1","BLM1_fit_NoErrors","deviance",-431.868558672276,13.806555597064,-443.707849554711,-437.413072726848,-433.210459970488,-428.021148432943,-417.004257296156,1.0854616792854,1500
"54","1","BLM1_fit_NoErrors","tau",2042.38367742524,323.537180436332,1471.11499192825,1819.02522381572,2035.56798182168,2259.39059915955,2682.17973900405,1.03670980240828,1500
"55","1","BLM1_fit","alpha",0.200243432871932,0.063917072677222,0.0436462295508168,0.166638902406265,0.206628793037839,0.242180414490019,0.312890251034214,1.74512055912804,6
"56","1","BLM1_fit","beta",0.035595744944172,0.00527570773072955,0.0263497074941755,0.0320778579469406,0.0350915369334892,0.0382963995591474,0.0484432577983252,1.75816184076793,6
"57","1","BLM1_fit","deviance",-665.431071968232,17.2495825844927,-696.216784367066,-677.526695952179,-666.131516113436,-654.695275098484,-629.410679249814,1.00039464479096,1500
"58","1","BLM1_fit","tauy",356.154517502049,56.6487741443459,256.608735242312,315.777640807562,352.965739990479,393.797346592644,473.461283839771,1.00125461680696,1500
"59","1","BLM1_fit_NoErrors","alpha",0.217378435612644,0.126191878432145,0.116914045079367,0.186024963315078,0.218598542540459,0.251823665960247,0.326080469075165,1.21938424479969,1500
"60","1","BLM1_fit_NoErrors","beta",0.0341890833151337,0.0105400935674781,0.0251270055766917,0.0313181459179066,0.0341527650280407,0.0367719467534246,0.0425173138631491,1.22324547526999,1500
"61","1","BLM1_fit_NoErrors","deviance",-436.12385106898,16.8635648412214,-449.439025544138,-442.221021117991,-437.339557212622,-432.42428757272,-420.102454362338,1.0591145487122,1500
"62","1","BLM1_fit_NoErrors","tau",2114.22558130814,348.024361693146,1506.5294962664,1891.90590472387,2090.56487133152,2331.70848950143,2816.05275854094,1.02757446509373,970
