"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"29","Full","BLM3_fit","marginalR2",0.151556285842393,0.241843008984227,0.0102628092027797,0.0171302923580736,0.0380676108902095,0.145538180146037,0.928376606680324,1.00049319668315,1500
"30","Full","BLM3_fit","alpha[1]",0.195147539602856,0.056500189139317,0.0637493671814521,0.157726329511401,0.210295173203192,0.235588290259757,0.270338267748802,2.21876278059098,5
"31","Full","BLM3_fit","alpha[2]",0.268139385108912,0.088663802939666,0.15412069339812,0.186325950415247,0.240473136733906,0.346342462475733,0.432109573283027,4.61580741920513,3
"32","Full","BLM3_fit","alpha[3]",0.177594078478704,0.0381149949003297,0.136796791749812,0.152408634893514,0.162983026947177,0.195498571770811,0.292302851023031,1.14144562455636,22
"33","Full","BLM3_fit","alpha[4]",0.177924464376334,0.0123642206549881,0.166779658687294,0.173183167850249,0.176795597694625,0.18021123631048,0.188900971914989,1.0500517436287,340
"34","Full","BLM3_fit","alpha[5]",0.0864117605449614,0.0174193803058394,0.0723922353464811,0.0799856119009,0.0842089790892389,0.0884210635732175,0.121608202672068,1.03417478228807,570
"35","Full","BLM3_fit","beta[1]",0.0356733599385648,0.00469260005009886,0.029290261518353,0.0323276261967197,0.0344639470630403,0.0387563130410756,0.0466009062053276,2.36166559241372,4
"36","Full","BLM3_fit","beta[2]",0.0290077313939498,0.00758013600234505,0.0148684411821287,0.0223380818158519,0.0312943135693066,0.0360154538515814,0.038761689951398,4.05526778901921,3
"37","Full","BLM3_fit","beta[3]",0.0375340794204848,0.00329062445600197,0.0277259990635301,0.0360200143712855,0.0388291850311536,0.0396959316361322,0.0410981710783995,1.14577927055332,23
"38","Full","BLM3_fit","beta[4]",0.0355759580361985,0.00212363149723688,0.0336334931426664,0.0352431454146501,0.0358041402374931,0.0363357074070938,0.0373878970614297,1.00568577064126,1500
"39","Full","BLM3_fit","beta[5]",0.0413719899087443,0.00191083785631441,0.0373286497574442,0.0411867543694252,0.0416180650665373,0.0420711160306993,0.0428888842282047,1.09523354992675,470
