Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Microbialite - 'LAGSAR1',C,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.633,0.016,12.2,12.28129734,2,0.170,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Microbialite - 'Namicro',C,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.6,0.003,26.1,11.1668757,2,0.148,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Microbialite - 'Samicro',C,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,2,0.605,0.006,27.7,11.04841473,2.1,0.153,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Microbialites - 'Kelly Lake',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.636,0.006,17.0,11.87831533,2,0.162,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Microbialites - 'Pavillion Lake',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.63,0.007,19.0,11.7162389,2,0.159,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - Abiotic,,,,,,,Micrite - BE,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,4,0.663,0.014,15.6,11.99377823,3,0.245,,,90,,Huntington,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - Abiotic,,,,,,,Micrite - EM,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,4,0.663,0.011,12.5,12.25551436,3,0.253,,,90,,Huntington,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - Abiotic,,,,,,,Micrite - SG,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.675,0.021,11.6,12.333108,3,0.256,,,90,,Huntington,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - Abiotic,,,,,,,Micrite - 'Andy Cohen - 2A' LAGUNA,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,1,0.625,0.012,14.6,12.07728557,2,0.166,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - Abiotic,,,,,,,Micrite - 'Andy Cohen - 2B' MAR,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.611,0.004,14.0,12.12780928,2,0.167,0.8,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Ooid - 'Spiral Jetty',A,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,17,0.599,0.006,27.7,11.04841473,2,0.145,-4,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Ooid - 'Antelope Island',A,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,13,0.603,0.006,26.1,11.1668757,2,0.148,-1,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Tufa - 'ModernPlayaSV',C,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,1,0.63,0.005,19.0,11.7162389,3.7,0.291,,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Tufa - 'WLTT - ZA',C,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,9,0.602,0.003,24.1,11.31765037,4,0.299,0.5,,90,,,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Kailas,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,6,0.596,0.006,15.0,12.04377829,2,0.165,-4.7,,90,,HUNTINGTON,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Tufa3 - 'CR - Lake Crowley CA',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.619,0.003,18.5,11.7564456,3,0.238,,,90,,HUNTINGTON,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Tufa3 - 'ME - Lake Mead NV',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,3,0.622,0,28.2,11.01178208,3,0.216,,,90,,HUNTINGTON,ICDES,Large,Neither,Neither
in prep,Arnold,Lake Carbonate - BioMediated,,,,,,,Tufa3 - 'MO - Mono Lake CA',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,2,0.607,0.002,19.4,11.68422187,3,0.236,,,90,,HUNTINGTON,ICDES,Large,Neither,Neither
2014,Wacker,,,,,,,,Coldseepcc,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.657013333,0.006103851,9,12.56145338,0.1,0.009,-1.77,NA,90,,Petersen,CDES,Large,Neither,Neither
2014,Wacker,Eggshell,Struthio,Struthio camelus,Struthio,Struthio camelus,,,Ostricheggshell,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,15,0.574958,0.005291287,38,10.32905023,0.6,0.040,,,90,,Petersen,CDES,Large,Neither,Neither
2014,Wacker,Foraminifera,Globigerinoides,Globigerinoides ruber,Globigerinoides,Globigerinoides ruber,1 Open ocean mixed-layer tropical/subtropical with symbionts,,Gruber,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.592845,0.014415,26,11.17434268,1,0.074,0.56,NA,90,,Petersen,CDES,Large,Neither,Neither
2014,Wacker,Foraminifera,Globorotalia,Globorotalia inflata,Globoconella,Globoconella inflata,3 Open ocean thermocline,,Ginflata,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.625835,0.003875,14,12.12780928,1,0.084,,,90,,Petersen,CDES,Large,Neither,Neither
2016,Winkelstern,,,,,,,,AC30dolo,D,UMichigan,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.58861,0.019419493,27,11.10000833,5,0.361,,,75,,Petersen,CDES,Large,Neither,Neither
2016,Winkelstern,,,,,,,,IODP-d-2,D,UMichigan,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.608366667,0.004570216,21,11.55745722,11,0.818,,,75,,Petersen,CDES,Large,Neither,Neither
2016,Winkelstern,,,,,,,,Barb1pt10-1,D,UMichigan,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.6197075,0.00494408,28,11.02641325,5,0.357,,,75,,Petersen,CDES,Large,Neither,Neither
2016,Winkelstern,,,,,,,,MIZd-1,D,UMichigan,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.47999,0.008403269,70,8.492430347,10,0.474,,,75,,Petersen,CDES,Large,Neither,Neither
2016,Garcia,,,,,,,,DPT12-10-salt,M,ImperialCollegeLondon,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.58518,0.00616,11.3,12.35913636,0.1,0.009,,,90,,Petersen,CDES,Large,Neither,Neither
2016,Garcia,,,,,,,,DTP10-12-crust,M,ImperialCollegeLondon,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.663265,0.004865,11.3,12.35913636,0.1,0.009,,,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Emiliania,Emiliania huxleyi,Emiliania,Emiliania huxleyi,,,Ehux15,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.627686667,0.002900818,15,12.04377829,0.2,0.017,,,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Emiliania,Emiliania huxleyi,Emiliania,Emiliania huxleyi,,,Ehux25,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.606653333,0.004842648,25,11.24942624,0.2,0.015,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Emiliania,Emiliania huxleyi,Emiliania,Emiliania huxleyi,,,Ehux20,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.617014,0.003808009,20,11.63644183,0.2,0.016,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Emiliania,Emiliania huxleyi,Emiliania,Emiliania huxleyi,,,Ehux7,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.655735,0.003425,7,12.74144683,0.2,0.018,-5.82,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Cpel20,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.629673333,0.003651467,20,11.63644183,0.2,0.016,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Cpel10,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.6554125,0.00499563,10,12.47288356,0.2,0.018,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Clept20,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.6248,0.003896081,20,11.63644183,0.2,0.016,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Emiliania,Emiliania huxleyi,Emiliania,Emiliania huxleyi,,,Ehux10,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.64802,0.010122422,10,12.47288356,0.2,0.018,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Cpel15,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.642282,0.005714489,15,12.04377829,0.2,0.017,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Clept15,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.640656667,0.008830591,15,12.04377829,0.2,0.017,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2017,Katz,Coccoliths,Coccolithus,Coccolithus braarudii,Coccolithus,Coccolithus braarudii,,,Clept10,C,IPGP,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.651686667,0.004205553,10,12.47288356,0.2,0.018,0.65,NA,90,,Petersen,CDES,Large,Neither,Neither
2021,Fiebig,,,,,,,,DHC2-8 total,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,22,0.578,0.002,33.7,10.6206,0.2,0.01,,,90,,,CDES,Large,Neither,Neither
2015,Eagle,Eggshells,Alligator ,mississippiensis,,,,,American alligator,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.586,0.007,31,10.80996676,2,0.141,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Crocodylus ,acutus,,,,,American crocodile',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.578,0.005,31,10.80996676,2,0.141,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Irena,puella,,,,,Asian fairy bluebird',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.537,0.008,41,10.13271603,0.5,0.032,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Tyto ,alba,,,,,Barn owl',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.561,0.004,38.7,10.28273168,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Gallus,gallus domesticus,,,,,Chicken,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.558,0,41.5,10.10053849,0.5,0.032,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Pantherophis ,guttatus,,,,,Corn snake',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.615,0.013,28,11.02641325,1,0.073,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Dromaius ,novaehollandiae,,,,,Emu,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.572,0.003,38,10.32905023,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Chelonoidis,nigra,,,,,Galapagos tortoise,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.585,0.007,30,10.88140199,2,0.142,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Vanellus ,miles,,,,,Masked lapwing,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.576,0.008,42,10.06851397,0.5,0.032,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Varanus ,gouldii,,,,,Monitor lizard',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.644,0.006,34.9,10.53798494,2.8,0.189,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Crocodylus ,niloticus,,,,,Nile Crocodile',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.594,0.018,27.5,11.06311899,0.5,0.037,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Struthio,camelus,,,,,Ostrich egg',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.561,0.002,39.1,10.25640368,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Spheniscus ,magellanicus,,,,,Penguin',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.565,0.009,37.8,10.34234159,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Columba,livia,,,,,Rock pigeon,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.56,0.004,41,10.13271603,0.5,0.032,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Odontophorus,melanotis,,,,,Quail,C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.529,0.01,41.5,10.10053849,0.5,0.032,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Geochelone ,radiata,,,,,Radiated tortoise',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.577,0.008,32.5,10.70412568,1.5,0.104,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Pipilo ,erythrophtalmus,,,,,Sparrow',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.54,0.015,43.3,9.985959491,0.5,0.031,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Cygnus,atratus,,,,,Swan',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.55,0.013,39,10.26297619,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Cathartes ,aura,,,,,Turkey vulture',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.545,0.018,39.9,10.20405014,0.5,0.033,,,90,,,ICDES,Large,Neither,Neither
2015,Eagle,Eggshells,Podocnemis ,sp.,,,,,Turtle',C,Caltech,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.593,0.009,30,10.88140199,2,0.142,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,4-86_5 D2,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.387,0.014,123.6,6.35281384,1,0.032,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,4-86_5 D3,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.362,0.009,175.9,4.959188298,7.3,0.157,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,6-184 D2B,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,1,0.453,0.007,103.1,7.063939692,6.2,0.227,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,6-216 D3,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.347,0.006,129.4,6.171068086,8.5,0.253,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,P184-D3,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.400,0.01,135.9,5.976503883,11.2,0.314,,,90,,,ICDES,Large,Neither,Neither
2017,Came,,,,,,,,R1-116-D2,D,UCLATripati,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.424,0.028,73.4,8.326609423,3.2,0.152,,,90,,,ICDES,Large,Neither,Neither
2021,Anderson,,,,,,,,LF2012-9_7-A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,4,0.663,0.018,2.5,13.16085203,1,0.095,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,LF2012-D1-A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,4,0.658,0.018,2.5,13.16085203,1,0.095,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,LJ2010-12A-Z1A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,13,0.668,0.009984604,0.5,13.35392999,1,0.097,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,LJ2010-12A-Z2A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,6,0.673,0.014696938,0.5,13.35392999,1,0.097,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,LJ2010-5B-A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,11,0.676,0.010854408,0.5,13.35392999,1,0.097,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,LV26NOV10-2A,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Lake,NonCorals,6,0.652,0.014696938,4,13.01877838,1,0.093,,,70,,,ICDES,Small,Neither,Neither
2019,Muller,,,,,,,,LV 15 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.617,0.022,25.5,11.21179018,5.7,0.416,1.8,1,70,,,CDES,Small,Neither,Neither
2019,Muller,,,,,,,,LV 71 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.599,0.019,25.5,11.21179018,5.7,0.416,1.8,1,70,,,CDES,Small,Neither,Neither
2019,Muller,,,,,,,,Qatar 1,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,25,0.591,0.015,32,10.73923266,6,0.410,,,70,,,CDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,GCP-1,C,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,21,0.583,0.008,24.5,11.28725213,1,0.075,,,70,,Petersen,ICDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,MCP-1,C,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,22,0.609,0.007,18.6,11.74838772,2,0.159,,,70,,Petersen,ICDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,BSP-1,C,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,21,0.635,0.006,8.9,12.57036221,0.5,0.044,,,70,,Petersen,ICDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,DSP-1,C,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,11,0.677,0.009,3.2,13.09426308,0.8,0.075,,,70,,Petersen,ICDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,OWB-1,C,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,21,0.654,0.008,9.1,12.55255401,1,0.088,,,70,,Petersen,ICDES,Small,Neither,Neither
2018,Breitenbach,Cave,,,,,,,NAICA1,A,Cambridge,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,17,0.543,0.008,47,9.75647616,1.5,0.091,,,70,,Petersen,ICDES,Small,Neither,Neither
2015,Kele,Eggshell,Struthio,Struthio camelus,Struthio,Struthio camelus,,,Ostrich,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,36,0.568,0.006320967,38,10.32905023,0.6,0.040,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Acqua Borra,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.565,0.012,36.1,10.45636136,0.1,0.007,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Tra-1 Bagnoli,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,32,0.591,0.008,23.7,11.34817158,0.1,0.008,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Tra 1,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.542,0.006,44.6,9.904416193,0.1,0.006,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Buk-4,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,28,0.53,0.008,54.9,9.29222925,0.1,0.006,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Canarian,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,29,0.566,0.01,33.8,10.61364908,0.1,0.007,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Cannatopa tufa,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,29,0.653,0.006,11,12.3852472,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Igal,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.469,0.007,75,8.250251751,0.1,0.005,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Kor 13/0,A,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,36,0.461,0.006,79.2,8.054738553,0.1,0.005,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,La Pigna tufa,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,31,0.643,0.008,12.5,12.25551436,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,P5 summer,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,38,0.637,0.006,12,12.29853123,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,P5 winter,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,43,0.637,0.008,5.6,12.86975407,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Palagio,A,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.599,0.008,22.7,11.42501694,0.1,0.008,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Piscine Carletti 8.1,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.511,0.007,57.9,9.124578578,0.1,0.006,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Rapolano Terme,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,28,0.574,0.009,28,11.02641325,0.1,0.007,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Sarteano tufa,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,29,0.609,0.006,20.7,11.58106795,0.1,0.008,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Szal-15,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.666,0.007,12.1,12.28990975,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Szal-2,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,27,0.664,0.006,10.1,12.46407814,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Szal-6,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,29,0.642,0.007,11,12.3852472,0.1,0.009,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,SZ 2/2,A,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,28,0.473,0.008,70.9,8.448057782,0.1,0.005,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Tra 6,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,28,0.58,0.006,41.2,10.11982659,0.1,0.006,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Tura,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,30,0.416,0.011,95,7.378199439,0.1,0.004,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2015,Kele,,,,,,,,Yellowstone slide NG-2,C,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,29,0.504,0.006,60.4,8.988311398,0.1,0.005,,,70,,Bernasconi,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,AQUA_BORRA,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,11,0.5766,0.010854408,36.1,10.45636136,0.1,0.007,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,BUK_4,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,9,0.5405,0.012,54.9,9.29222925,0.1,0.006,,,70,,,ICDES,Small,Neither,Neither
2021,Anderson,,,,,,,,CANARIAN,C,MIT,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.5835,0.012727922,33.8,10.61364908,0.1,0.007,,,70,,,ICDES,Small,Neither,Neither
