Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.594,0.004770508,23,11.40188158,1.5,0.115,0.99,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.602,0.005249356,19.8,11.6523359,0.8,0.063,0.68,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB3-5,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010999313,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB4-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.659,0.032048791,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.664,0.00769264,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.678,0.005175817,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.694,0.009203748,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,HMB-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.614,0.035845,10.5,12.42894952,1,0.087,0.1,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.639,0.007441911,14.4,12.09409167,0.5,0.042,-3.76,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.591,0.00356,27.3,11.07785263,0.2,0.015,-3.54,NA,90,,Petersen,CDES,Large,Neither,
